Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.3,4544.6,175.552,0.0,175.552,,0.0291,0,400,0.0,1
Dense_a,10.3,4514.1,173.412,0.0,173.412,,0.0289,0,400,0.0,2
Dense_a,10.3,4632.4,176.47,0.0,176.47,,0.0288,0,400,0.0,3
Dense_a,8.2,2326.6,184.42,26.792,266.858,,0.0267,50,400,0.53584,2
Dense_a,9.5,3554.5,245.988,29.674,266.164,,0.0263,50,400,0.59348,1
Dense_a,10.2,4407.7,262.488,33.36,264.89799999999997,,0.0267,50,400,0.6672,3
Dense_a,10.2,4425.0,233.262,24.014,255.25,,0.0276,35,400,0.6861142857142857,2
Dense_a,10.9,5395.7,255.064,25.086,255.344,,0.0273,35,400,0.7167428571428571,1
Dense_a,11.1,5758.9,281.448,28.782,252.666,,0.0275,35,400,0.8223428571428572,3
Dense_a,10.6,5005.8,251.452,20.848,246.086,,0.0276,25,400,0.83392,1
Dense_a,11.1,5717.4,276.198,24.758,251.44,,0.0277,25,400,0.99032,3
Dense_a,11.2,5923.3,281.074,25.0,256.074,,0.0277,25,400,1.0,2
Dense_a,10.7,5139.4,200.756,5.0,195.756,,0.0278,5,400,1.0,1
Dense_a,10.9,5478.7,223.11,10.0,213.11,,0.0276,10,400,1.0,1
Dense_a,10.6,4939.7,195.624,5.0,190.624,,0.0278,5,400,1.0,2
Dense_a,10.7,5168.7,204.124,5.0,199.124,,0.0281,5,400,1.0,3
Dense_a,10.9,5376.1,223.97,10.0,213.97,,0.0281,10,400,1.0,3
Dense_a,10.9,5437.5,223.708,10.0,213.708,,0.0279,10,400,1.0,2
Dense_a,11.6,6458.9,236.642,0.0,236.642,,0.0288,0,450,0.0,1
Dense_a,11.6,6598.0,241.512,0.0,241.512,,0.0288,0,450,0.0,2
Dense_a,11.6,6600.0,240.286,0.0,240.286,,0.0287,0,450,0.0,3
Dense_a,8.6,2641.2,155.286,18.05,301.312,,0.0266,50,450,0.361,3
Dense_a,9.3,3342.3,185.086,21.858,308.40999999999997,,0.0265,50,450,0.43716,1
Dense_a,9.4,3463.3,196.578,22.688,309.86199999999997,,0.0271,50,450,0.45376,2
Dense_a,10.6,4968.1,242.324,21.072,297.396,,0.0277,35,450,0.6020571428571428,1
Dense_a,11.3,6012.5,280.254,23.526,303.728,,0.0279,35,450,0.6721714285714285,2
Dense_a,11.4,6209.4,291.532,24.03,301.958,,0.0277,35,450,0.6865714285714286,3
Dense_a,11.5,6345.8,278.132,18.304,288.02,,0.0277,25,450,0.7321599999999999,1
Dense_a,12.1,7501.0,326.032,24.856,301.176,,0.0278,25,450,0.99424,3
Dense_a,11.7,6776.8,255.05,5.0,250.05,,0.0281,5,450,1.0,1
Dense_a,12.1,7503.1,324.57,25.0,299.57,,0.0275,25,450,1.0,2
Dense_a,11.8,6887.1,272.32,10.0,262.32,,0.0279,10,450,1.0,1
Dense_a,11.8,6909.7,258.844,5.0,253.844,,0.0279,5,450,1.0,2
Dense_a,11.8,6858.8,257.296,5.0,252.296,,0.0281,5,450,1.0,3
Dense_a,11.9,7129.6,274.926,10.0,264.926,,0.0278,10,450,1.0,3
Dense_a,11.9,7024.9,273.294,10.0,263.294,,0.0279,10,450,1.0,2
Dense_a,12.6,8313.2,296.348,0.0,296.348,,0.0286,0,500,0.0,1
Dense_a,12.6,8448.4,299.142,0.0,299.142,,0.0285,0,500,0.0,2
Dense_a,12.6,8473.0,298.388,0.0,298.388,,0.0284,0,500,0.0,3
Dense_a,11.3,6122.4,293.418,29.014,359.58000000000004,,0.0271,50,500,0.58028,3
Dense_a,10.8,5232.2,282.102,29.562,357.302,,0.0273,50,500,0.59124,2
Dense_a,12.0,7278.5,347.026,32.494,363.916,,0.0276,50,500,0.64988,1
Dense_a,12.6,8281.8,349.504,25.576,353.418,,0.0276,35,500,0.7307428571428571,2
