Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.465,1790.0,0.0,3.08,0.0,1.65,1086.0643521348106,0.0,186.06,3
a_fit /µM,0,400,0.472,1790.0,0.0,3.08,0.0,1.63,1103.599561950709,0.0,188.818,2
a_fit /µM,0,400,0.475,1780.0,0.0,3.08,0.0,1.62,1102.263229346497,0.0,189.972,1
a_fit /µM,0,450,0.553,1770.0,0.0,3.46,0.0,1.55,1145.1176992743046,0.0,248.636,3
a_fit /µM,0,450,0.55,1780.0,0.0,3.46,0.0,1.56,1142.1371751626714,0.0,247.576,2
a_fit /µM,0,450,0.555,1780.0,0.0,3.46,0.0,1.54,1152.806669437028,0.0,249.848,1
a_fit /µM,0,500,0.614,1770.0,0.0,3.85,0.0,1.48,1192.8578929510606,0.0,307.204,3
a_fit /µM,0,500,0.611,1760.0,0.0,3.85,0.0,1.5,1173.96526033332,0.0,305.268,2
a_fit /µM,0,500,0.613,1770.0,0.0,3.85,0.0,1.49,1187.3202089758868,0.0,306.62,1
a_fit /µM,0,1000,0.834,1730.0,0.0,7.69,0.0,1.28,1354.456995990662,0.0,834.188,1
a_fit /µM,0,1000,0.834,1730.0,0.0,7.69,0.0,1.28,1350.236275351157,0.0,833.542,3
a_fit /µM,0,1000,0.832,1730.0,0.0,7.69,0.0,1.29,1339.698790086773,0.0,832.314,2
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.17,1468.262698168984,0.0,2349.714,3
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.16,1479.4111775175013,0.0,2351.018,2
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.15,1485.9338652229978,0.0,2351.964,1
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.09,1556.20181458019,0.0,4860.654008438819,2
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.1,1545.6222684336522,0.0,4859.807339449541,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.11,1533.766647459111,0.0,4858.888185654008,1
a_fit /µM,5,400,0.519,1730.0,0.0385,3.08,0.0,1.5,1150.3489073184253,5.0,205.138,3
a_fit /µM,5,400,0.521,1730.0,0.0385,3.08,0.0,1.49,1158.369773669901,5.0,205.82,2
a_fit /µM,5,400,0.52,1730.0,0.0385,3.08,0.0,1.5,1156.906358407909,5.0,205.528,1
a_fit /µM,5,450,0.583,1730.0,0.0385,3.46,0.0,1.46,1185.677795315328,5.0,260.178,3
a_fit /µM,5,450,0.582,1730.0,0.0385,3.46,0.0,1.46,1184.9246582168978,5.0,259.794,2
a_fit /µM,5,450,0.584,1730.0,0.0385,3.46,0.0,1.46,1187.1595140641582,5.0,260.886,1
a_fit /µM,5,500,0.631,1740.0,0.0385,3.85,0.0,1.43,1212.8905926229424,5.0,313.8,3
