Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,10.8,5228.4,197.796,0.0,197.796,,0.029,0,400,0.0,1
Dense_a,10.8,5246.6,197.28,0.0,197.28,,0.0289,0,400,0.0,3
Dense_a,10.8,5222.4,196.522,0.0,196.522,,0.0288,0,400,0.0,2
Dense_a,11.6,6472.2,283.964,29.504,258.868,,0.0274,50,400,0.59008,3
Dense_a,11.3,6039.2,282.57,30.132,256.824,,0.0272,50,400,0.6026400000000001,1
Dense_a,11.1,5767.9,284.342,31.448,256.976,,0.0276,50,400,0.62896,2
Dense_a,11.5,6382.7,274.882,24.39,250.492,,0.0276,35,400,0.6968571428571428,1
Dense_a,11.5,6407.1,273.634,25.29,248.344,,0.0274,35,400,0.7225714285714285,3
Dense_a,11.4,6223.1,278.724,26.46,252.264,,0.0276,35,400,0.756,2
Dense_a,11.5,6364.6,267.182,21.442,245.74,,0.0278,25,400,0.85768,2
Dense_a,11.6,6514.1,273.128,21.664,251.464,,0.0278,25,400,0.8665600000000001,3
Dense_a,11.6,6525.5,273.656,22.42,251.236,,0.0276,25,400,0.8968,1
Dense_a,11.2,5822.4,229.806,9.736,220.07,,0.0282,10,400,0.9736,1
Dense_a,11.0,5519.3,212.684,4.966,207.718,,0.0283,5,400,0.9932000000000001,2
Dense_a,10.9,5496.1,212.368,5.0,207.368,,0.0283,5,400,1.0,1
Dense_a,11.0,5617.8,216.234,5.0,211.234,,0.0283,5,400,1.0,3
Dense_a,11.2,5863.2,229.7,10.0,219.7,,0.0281,10,400,1.0,3
Dense_a,11.2,5958.0,232.668,10.0,222.668,,0.028,10,400,1.0,2
Dense_a,11.9,7051.1,256.496,0.0,256.496,,0.0288,0,450,0.0,1
Dense_a,12.0,7188.7,259.374,0.0,259.374,,0.0287,0,450,0.0,3
Dense_a,11.9,7068.8,255.128,0.0,255.128,,0.0287,0,450,0.0,2
Dense_a,12.2,7628.1,322.948,28.782,300.964,,0.0274,50,450,0.57564,2
Dense_a,12.3,7830.8,337.152,32.354,304.798,,0.0275,50,450,0.64708,3
Dense_a,12.5,8208.8,338.318,32.402,310.128,,0.0273,50,450,0.6480400000000001,1
Dense_a,12.4,8083.1,331.24,27.626,303.614,,0.0276,35,450,0.7893142857142857,2
Dense_a,12.5,8225.8,335.844,28.008,307.836,,0.0276,35,450,0.8002285714285714,3
Dense_a,12.5,8208.6,343.322,30.678,312.644,,0.0275,35,450,0.8765142857142857,1
Dense_a,12.4,8049.3,325.37,22.942,302.428,,0.0278,25,450,0.91768,1
Dense_a,12.5,8188.7,326.486,23.126,303.36,,0.0276,25,450,0.9250400000000001,2
Dense_a,12.5,8244.1,327.006,23.564,303.442,,0.0277,25,450,0.94256,3
Dense_a,12.2,7558.5,283.16,9.638,273.522,,0.0281,10,450,0.9638,1
Dense_a,12.2,7593.8,284.832,9.672,275.16,,0.028,10,450,0.9672000000000001,2
Dense_a,12.2,7618.0,286.576,9.86,276.716,,0.0281,10,450,0.986,3
Dense_a,12.0,7310.6,268.812,4.974,263.838,,0.0283,5,450,0.9948,1
Dense_a,12.1,7418.1,274.216,4.998,269.218,,0.0284,5,450,0.9996,2
Dense_a,12.0,7323.2,270.402,5.0,265.402,,0.0283,5,450,1.0,3
Dense_a,12.9,9039.1,318.702,0.0,318.702,,0.0287,0,500,0.0,1
