Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.485,1790.0,0.0,3.08,0.0,1.58,1129.246358671421,0.0,194.068,2
a_fit /µM,0,400,0.494,1790.0,0.0,3.08,0.0,1.56,1148.3239407893177,0.0,197.506,3
a_fit /µM,0,400,0.483,1790.0,0.0,3.08,0.0,1.59,1125.758235754408,0.0,193.154,1
a_fit /µM,0,450,0.574,1770.0,0.0,3.46,0.0,1.48,1200.683385578605,0.0,258.356,2
a_fit /µM,0,450,0.569,1770.0,0.0,3.46,0.0,1.49,1185.8936869110646,0.0,256.124,3
a_fit /µM,0,450,0.571,1770.0,0.0,3.46,0.0,1.49,1187.833278676222,0.0,256.808,1
a_fit /µM,0,500,0.627,1770.0,0.0,3.85,0.0,1.43,1230.7125877145331,0.0,313.72,2
a_fit /µM,0,500,0.628,1770.0,0.0,3.85,0.0,1.43,1236.402782302437,0.0,314.072,3
a_fit /µM,0,500,0.629,1770.0,0.0,3.85,0.0,1.43,1237.832845145855,0.0,314.742,1
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1381.5263881075568,0.0,837.708,2
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1381.2406155119122,0.0,837.688,3
a_fit /µM,0,1000,0.838,1730.0,0.0,7.69,0.0,1.25,1386.180076457466,0.0,838.376,1
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.14,1498.439129225471,0.0,2353.166,1
a_fit /µM,0,2500,0.942,1710.0,0.0,19.2,0.0,1.13,1519.2722937919802,0.0,2354.926,2
a_fit /µM,0,2500,0.941,1710.0,0.0,19.2,0.0,1.15,1486.3762157393976,0.0,2351.698,3
a_fit /µM,0,5000,0.973,1700.0,0.0,38.5,0.0,1.07,1582.6845188845714,0.0,4863.516,1
