Phase,Size,Volume,N,N_mRNA,N_Protein,<mRNA>,<Protein>,NmRNA,NPro,N_mRNA/NmRNA,replicate
Dense_a,11.9,7058.2,201.782,0.0,201.782,,0.0288,0,400,0.0,1
Dense_a,11.7,6740.5,195.33,0.0,195.33,,0.029,0,400,0.0,3
Dense_a,11.8,6864.2,198.338,0.0,198.338,,0.029,0,400,0.0,2
Dense_a,11.8,6935.6,213.874,11.558,202.316,,0.0284,50,400,0.23116,1
Dense_a,11.8,6941.1,215.838,11.906,203.932,,0.0285,50,400,0.23812,2
Dense_a,11.9,6985.6,217.738,12.15,205.588,,0.0285,50,400,0.243,3
Dense_a,11.9,7023.0,213.76,8.318,205.442,,0.0287,25,400,0.33271999999999996,3
Dense_a,11.4,6139.1,242.912,12.432,230.48,,0.0285,35,400,0.3552,3
Dense_a,11.5,6330.9,246.052,12.536,233.516,,0.0284,35,400,0.3581714285714286,2
Dense_a,11.9,7069.4,213.68,8.968,204.712,,0.0285,25,400,0.35872,2
Dense_a,11.9,7057.2,214.27,9.04,205.23,,0.0284,25,400,0.3616,1
Dense_a,11.4,6213.1,244.606,13.068,231.538,,0.0285,35,400,0.3733714285714286,1
Dense_a,11.9,6987.2,209.796,5.07,204.726,,0.0288,10,400,0.507,1
Dense_a,11.8,6893.1,207.032,5.098,201.934,,0.0288,10,400,0.5098,3
Dense_a,11.9,7043.6,209.804,5.142,204.662,,0.0287,10,400,0.5142,2
Dense_a,11.8,6906.3,203.442,2.798,200.644,,0.0288,5,400,0.5596,1
Dense_a,11.8,6907.9,201.276,2.806,198.47,,0.0287,5,400,0.5612,2
Dense_a,11.7,6780.5,200.536,3.194,197.342,,0.0289,5,400,0.6388,3
Dense_a,12.9,9002.6,256.454,0.0,256.454,,0.0288,0,450,0.0,1
Dense_a,12.9,9078.9,258.66,0.0,258.66,,0.0288,0,450,0.0,3
Dense_a,12.9,9005.3,256.016,0.0,256.016,,0.0287,0,450,0.0,2
Dense_a,13.0,9160.0,275.26,14.194,261.066,,0.0282,50,450,0.28388,2
Dense_a,12.9,9045.0,273.808,14.31,259.498,,0.0283,50,450,0.2862,3
Dense_a,13.0,9251.0,279.32,14.426,264.894,,0.0284,50,450,0.28852,1
Dense_a,12.3,7722.9,295.12,13.086,282.034,,0.0286,35,450,0.3738857142857143,3
Dense_a,12.4,7969.4,301.14,13.132,288.008,,0.0285,35,450,0.3752,1
Dense_a,12.4,7984.5,300.176,13.542,286.634,,0.0284,35,450,0.3869142857142857,2
Dense_a,13.0,9221.3,273.64,10.448,263.192,,0.0284,25,450,0.41792,2
Dense_a,13.0,9184.6,273.278,10.534,262.744,,0.0285,25,450,0.42136,1
Dense_a,13.0,9279.2,275.78,10.63,265.15,,0.0284,25,450,0.4252,3
Dense_a,13.0,9179.3,267.998,5.832,262.166,,0.0285,10,450,0.5831999999999999,2
Dense_a,12.9,9030.3,265.964,5.902,260.062,,0.0286,10,450,0.5902000000000001,1
Dense_a,12.9,8986.6,260.772,3.004,257.768,,0.0287,5,450,0.6008,2
Dense_a,13.1,9309.4,266.974,3.044,263.93,,0.0286,5,450,0.6088,1
Dense_a,12.9,9085.9,265.808,6.09,259.718,,0.0286,10,450,0.609,3
Dense_a,13.0,9182.5,264.838,3.394,261.444,,0.0286,5,450,0.6788000000000001,3
Dense_a,13.9,11205.7,315.096,0.0,315.096,,0.0285,0,500,0.0,1
Dense_a,13.9,11149.8,314.254,0.0,314.254,,0.0286,0,500,0.0,3
Dense_a,13.9,11181.1,314.484,0.0,314.484,,0.0286,0,500,0.0,2
Dense_a,13.9,11145.5,331.64,15.456,316.184,,0.0283,50,500,0.30912,1
Dense_a,13.8,11075.0,331.812,15.742,316.07,,0.0283,50,500,0.31484,3
Dense_a,13.9,11254.0,337.654,16.672,320.982,,0.0282,50,500,0.33344,2
Dense_a,13.2,9648.5,355.798,14.428,341.37,,0.0284,35,500,0.41222857142857144,2
Dense_a,13.2,9649.9,354.546,14.686,339.86,,0.0284,35,500,0.4196,1
Dense_a,13.2,9629.1,356.924,15.266,341.658,,0.0284,35,500,0.4361714285714286,3
Dense_a,14.0,11406.2,334.022,11.162,322.86,,0.0283,25,500,0.44648000000000004,1
Dense_a,13.9,11301.0,331.674,11.296,320.378,,0.0283,25,500,0.45183999999999996,3
