Type,#mRNA,#Protein,Dense%,[Protein-],<mRNA>,<Protein>,[mRNA+],[Protein+],P(Dense/Dilute),N_mRNA,N_Protein,replicate
a_fit /µM,0,400,0.468,1790.0,0.0,3.08,0.0,1.64,1092.7481461079665,0.0,187.192,3
a_fit /µM,0,400,0.47,1790.0,0.0,3.08,0.0,1.63,1096.1371528317263,0.0,187.82,2
a_fit /µM,0,400,0.471,1790.0,0.0,3.08,0.0,1.63,1097.3695108000663,0.0,188.324,1
a_fit /µM,0,450,0.554,1770.0,0.0,3.46,0.0,1.55,1144.7623394167188,0.0,249.1,3
a_fit /µM,0,450,0.552,1770.0,0.0,3.46,0.0,1.55,1142.3252784264234,0.0,248.518,2
a_fit /µM,0,450,0.553,1780.0,0.0,3.46,0.0,1.55,1149.2877569063232,0.0,249.008,1
a_fit /µM,0,500,0.614,1760.0,0.0,3.85,0.0,1.48,1186.3063843937357,0.0,307.174,3
a_fit /µM,0,500,0.611,1760.0,0.0,3.85,0.0,1.5,1175.8194073354268,0.0,305.304,2
a_fit /µM,0,500,0.615,1760.0,0.0,3.85,0.0,1.48,1189.925932526677,0.0,307.626,1
a_fit /µM,0,1000,0.834,1740.0,0.0,7.69,0.0,1.28,1354.326365239354,0.0,833.992,1
a_fit /µM,0,1000,0.832,1730.0,0.0,7.69,0.0,1.3,1335.3339707724683,0.0,832.038,3
a_fit /µM,0,1000,0.834,1730.0,0.0,7.69,0.0,1.28,1354.9336219582435,0.0,834.378,2
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.16,1474.2630252966246,0.0,2350.698,3
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.16,1479.8990429898276,0.0,2351.154,2
a_fit /µM,0,2500,0.94,1710.0,0.0,19.2,0.0,1.17,1458.6677176790658,0.0,2348.918,1
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.1,1552.4347438428572,0.0,4860.707434052758,2
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.1,1544.572087408015,0.0,4860.145569620253,3
a_fit /µM,0,5000,0.972,1700.0,0.0,38.5,0.0,1.11,1537.3698472287665,0.0,4859.335443037975,1
a_fit /µM,5,400,0.476,1770.0,0.0385,3.08,0.0206,1.61,1099.3851071402507,2.32,190.436,3
a_fit /µM,5,400,0.476,1780.0,0.0385,3.08,0.0188,1.61,1101.4746578678908,2.56,190.308,2
a_fit /µM,5,400,0.472,1780.0,0.0385,3.08,0.0208,1.62,1095.3425469129627,2.304,188.886,1
a_fit /µM,5,450,0.561,1770.0,0.0385,3.46,0.0148,1.52,1159.9168802135655,3.076,252.13,3
a_fit /µM,5,450,0.558,1770.0,0.0385,3.46,0.0168,1.53,1152.6841082260669,2.814,250.928,2
a_fit /µM,5,450,0.56,1770.0,0.0385,3.46,0.0145,1.53,1158.560908624714,3.116,251.908,1
a_fit /µM,5,500,0.622,1760.0,0.0385,3.85,0.0141,1.46,1212.1061478267227,3.166,310.942,3
a_fit /µM,5,500,0.616,1760.0,0.0385,3.85,0.0165,1.48,1191.8097938001513,2.852,308.226,2
a_fit /µM,5,500,0.619,1750.0,0.0385,3.85,0.012,1.47,1192.3029069385082,3.444,309.01,1
a_fit /µM,5,1000,0.835,1730.0,0.0385,7.69,0.0095,1.27,1359.884289489684,3.77,835.306,2
a_fit /µM,5,1000,0.833,1730.0,0.0385,7.69,0.00682,1.29,1344.2928634027046,4.116,833.25,3
a_fit /µM,5,1000,0.834,1730.0,0.0385,7.69,0.00659,1.28,1349.180969316512,4.146,833.966,1
a_fit /µM,5,2500,0.94,1710.0,0.0385,19.2,0.00423,1.15,1482.1066742004832,4.456,2351.448,1
a_fit /µM,5,2500,0.94,1710.0,0.0385,19.2,0.00443,1.17,1467.477664442585,4.43,2350.002,2
a_fit /µM,5,2500,0.94,1710.0,0.0385,19.2,0.00264,1.17,1467.0029658238504,4.66,2349.886,3
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.00164,1.11,1540.5942263241284,4.791139240506329,4859.449367088608,1
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.000501,1.1,1546.9197458218382,4.9362637362637365,4860.254945054945,3
a_fit /µM,5,5000,0.972,1700.0,0.0385,38.5,0.00118,1.1,1547.0779877030775,4.850210970464135,4860.162447257384,2
a_fit /µM,10,400,0.48,1760.0,0.0769,3.08,0.0424,1.6,1102.256062461876,4.496,192.25,2
a_fit /µM,10,400,0.488,1780.0,0.0769,3.08,0.0456,1.57,1132.9884813351212,4.082,196.164,3
a_fit /µM,10,400,0.48,1780.0,0.0769,3.08,0.0459,1.59,1116.796753325002,4.034,192.858,1
a_fit /µM,10,450,0.561,1760.0,0.0769,3.46,0.0392,1.51,1162.7630585945674,4.902,253.34,2
a_fit /µM,10,450,0.564,1770.0,0.0769,3.46,0.0386,1.51,1172.0580728767818,4.992,254.306,3
a_fit /µM,10,450,0.564,1760.0,0.0769,3.46,0.0391,1.51,1168.100804177917,4.922,254.422,1
a_fit /µM,10,500,0.62,1760.0,0.0769,3.85,0.034,1.46,1205.866138257186,5.59,310.46,2
a_fit /µM,10,500,0.619,1760.0,0.0769,3.85,0.0343,1.46,1200.949489314267,5.55,310.224,3
a_fit /µM,10,500,0.623,1760.0,0.0769,3.85,0.0369,1.44,1218.703775255178,5.202,312.552,1
a_fit /µM,10,1000,0.834,1730.0,0.0769,7.69,0.0158,1.28,1348.5454261921143,7.954,833.984,1
a_fit /µM,10,1000,0.833,1730.0,0.0769,7.69,0.0164,1.28,1347.692814984565,7.876,833.614,2
a_fit /µM,10,1000,0.832,1730.0,0.0769,7.69,0.0172,1.29,1341.4165435998502,7.778,832.97,3
a_fit /µM,10,2500,0.94,1710.0,0.0769,19.2,0.01,1.15,1484.1321410782732,8.71,2351.662,2
a_fit /µM,10,2500,0.941,1710.0,0.0769,19.2,0.00527,1.15,1488.968887751765,9.322,2352.21,3
a_fit /µM,10,2500,0.94,1710.0,0.0769,19.2,0.00971,1.15,1484.7077830469154,8.75,2351.468,1
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.00268,1.09,1561.8308040133152,9.65934065934066,4861.70989010989,3
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.00422,1.1,1552.6281684068956,9.464135021097048,4860.677215189873,2
a_fit /µM,10,5000,0.972,1700.0,0.0769,38.5,0.00272,1.09,1553.6977566247926,9.654008438818565,4860.896624472573,1
a_fit /µM,25,400,0.475,1760.0,0.192,3.08,0.133,1.59,1108.1136773972833,7.758,194.002,1
a_fit /µM,25,400,0.481,1760.0,0.192,3.08,0.131,1.57,1124.0464485896266,8.012,196.49,2
a_fit /µM,25,400,0.474,1760.0,0.192,3.08,0.131,1.59,1105.9282382076312,8.02,193.402,3
a_fit /µM,25,450,0.556,1760.0,0.192,3.46,0.123,1.5,1172.1075135364156,8.964,254.97,1
a_fit /µM,25,450,0.553,1750.0,0.192,3.46,0.128,1.51,1163.1753012365216,8.4,254.23,2
a_fit /µM,25,450,0.559,1760.0,0.192,3.46,0.119,1.5,1177.5740025662667,9.524,255.792,3
a_fit /µM,25,500,0.613,1750.0,0.192,3.85,0.112,1.45,1204.3879667922072,10.492,311.418,1
a_fit /µM,25,500,0.614,1750.0,0.192,3.85,0.11,1.45,1205.8759849188143,10.696,311.79,2
a_fit /µM,25,500,0.61,1750.0,0.192,3.85,0.117,1.46,1198.0743005853506,9.818,310.404,3
a_fit /µM,25,1000,0.83,1720.0,0.192,7.69,0.0678,1.28,1350.6663241045446,16.214,834.714,2
a_fit /µM,25,1000,0.829,1730.0,0.192,7.69,0.0733,1.28,1352.2405122619757,15.506,834.586,3
a_fit /µM,25,1000,0.828,1720.0,0.192,7.69,0.0746,1.28,1344.1497227595496,15.33,833.762,1
a_fit /µM,25,2500,0.939,1710.0,0.192,19.2,0.0314,1.16,1469.4750861652403,20.964,2350.31,1
a_fit /µM,25,2500,0.94,1710.0,0.192,19.2,0.0275,1.15,1488.127383340115,21.458,2352.432,2
a_fit /µM,25,2500,0.94,1710.0,0.192,19.2,0.0258,1.15,1485.2293001730018,21.684,2352.206,3
a_fit /µM,25,5000,0.972,1700.0,0.192,38.5,0.0137,1.1,1553.6032714961784,23.25760649087221,4860.789046653144,1
a_fit /µM,25,5000,0.972,1680.0,0.192,38.5,0.013,1.1,1533.547672263163,23.341772151898738,4860.649789029536,3
